Respondent,MainBranch,Hobbyist,Age,Age1stCode,Salary,Country,WorkWeekHrs,YearsCode,YearsCodePro
18505,I am a developer by profession,Yes,30,23,1.00E+05,United States,43,12,8
18506,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,30,14,54049,Spain,42,28,22
18507,I am a developer by profession,Yes,31,17,61404,Mexico,40,15,9
18508,I am a developer by profession,Yes,27,12,31204,Croatia,35,13,5
18509,I am a developer by profession,Yes,22,19,76131,Mexico,45,4,1
18510,I am a developer by profession,Yes,40,5,58000,United States,40,35,15
18512,I am a developer by profession,Yes,27,18,12384,Nicaragua,40,9,5
18514,I am a developer by profession,Yes,30,14,146116,Russian Federation,40,33,23
18515,I am a developer by profession,Yes,50,11,89189,United Kingdom,38,39,25
18519,I am a developer by profession,Yes,24,13,81682,Canada,35,11,6
18520,I am a developer by profession,Yes,38,17,124692,Germany,35,22,15
18521,I am a developer by profession,Yes,32,20,62268,Belgium,45,15,10
18526,I am a developer by profession,Yes,28,15,56070,Netherlands,40,13,5
18527,I am a developer by profession,Yes,36,33,35672,Germany,30,2,1
18528,I am a developer by profession,No,24,17,13752,Costa Rica,40,8,2
18530,I am a developer by profession,No,25,14,42668,Malta,40,11,5
18531,I am a developer by profession,Yes,30,14,48644,France,38,16,9
18533,I am a developer by profession,Yes,30,15,101011,United States,42,13,8
18535,I am a developer by profession,Yes,59,16,180000,United States,45,40,36
18536,I am a developer by profession,No,30,14,30384,Mexico,55,16,7
18537,"I used to be a developer by profession, but no longer am",Yes,31,16,104769,Panama,40,15,9
18538,I am a developer by profession,Yes,30,13,51888,Netherlands,40,15,9
18539,I am a developer by profession,No,32,24,70264,Ireland,45,7,1
18540,I am a developer by profession,Yes,26,17,88000,United States,40,8,4
18542,I am a developer by profession,No,30,17,57292,Spain,40,10,5
18545,I am a developer by profession,Yes,28,18,24000,Panama,5,10,4
18546,I am a developer by profession,No,35,11,136512,United States,40,18,13
18547,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,36,12,36468,Bulgaria,50,22,15
18549,I am a developer by profession,Yes,32,20,59454,France,40,12,9
18551,I am a developer by profession,Yes,30,14,51887,Netherlands,40,12,8
18553,I am a developer by profession,No,26,16,21000,United States,40,10,1
18555,I am a developer by profession,Yes,44,9,93067,United Kingdom,37,35,20
18556,I am a developer by profession,Yes,24,18,76591,Ghana,30,6,2
18557,I am a developer by profession,No,28,27,49032,Israel,40,1,1
18558,I am a developer by profession,No,32,16,58000,United States,40,4,2
18559,I am a developer by profession,Yes,26,16,91559,United States,40,10,6
18560,I am a developer by profession,Yes,51,18,124792,Canada,60,33,32
18561,I am a developer by profession,No,30,15,127203,Ireland,45,23,17
18562,I am a developer by profession,Yes,41,16,127056,Canada,40,23,20
18563,I am a developer by profession,Yes,23,15,9696,Mexico,40,8,1
18564,I am a developer by profession,No,27,14,96982,Italy,40,13,7
18565,I am a developer by profession,No,45,10,1440000,United States,5,30,20
18567,I am a developer by profession,Yes,25,20,81652,Italy,43,5,3
18568,I am a developer by profession,No,27,22,6876,Brazil,40,5,5
18569,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,28,12,85000,United States,50,8,3
18570,I am a developer by profession,Yes,27,13,38916,Estonia,38,14,5
18572,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,36,14,37620,Portugal,40,17,12
18575,I am a developer by profession,Yes,30,19,51057,United Kingdom,37.5,11,7
18576,I am a developer by profession,Yes,30,20,64859,Germany,40,3,2
18578,I am a developer by profession,No,51,10,4.00E+05,United States,40,41,33
18579,I am a developer by profession,No,36,22,55800,Hungary,37,16,14
18581,I am a developer by profession,Yes,38,15,48108,Hungary,40,10,6
18582,I am a developer by profession,No,43,10,135000,United States,40,21,20
18583,"I am not primarily a developer, but I write code sometimes as part of my work",No,32,17,150000,United States,35,10,4
18584,I am a developer by profession,Yes,29,20,27240,Germany,39.5,9,3
18585,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,30,18,101361,Argentina,40,20,4
18586,I am a developer by profession,No,39,30,86478,Ireland,40,7,6
18587,I am a developer by profession,No,26,13,31788,Colombia,40,13,7
18589,I am a developer by profession,No,30,18,114178,Croatia,50,17,12
18591,I am a developer by profession,Yes,30,21,51888,Turkey,48,28,19
18592,I am a developer by profession,Yes,30,12,80503,Sweden,40,5,1
18593,I am a developer by profession,Yes,31,16,60744,Poland,48,15,4
18594,I am a developer by profession,Yes,29,15,145000,United States,40,12,5
18595,I am a developer by profession,Yes,37,13,71345,Italy,43,25,10
18598,I am a developer by profession,Yes,28,24,142000,United States,40,5,5
18599,I am a developer by profession,Yes,38,13,16104,Poland,40,10,10
18602,I am a developer by profession,No,39,10,76606,Norway,40,16,11
18603,I am a developer by profession,Yes,30,15,946944,Ireland,35,11,7
18604,I am a developer by profession,No,37,8,48644,Italy,36,20,11
18605,I am a developer by profession,No,37,13,8556,Iran,40,22,18
18606,I am a developer by profession,Yes,36,7,84019,United Kingdom,40,29,14
18607,I am a developer by profession,Yes,25,15,52942,Canada,35,9,2
18608,I am a developer by profession,Yes,33,14,62697,Germany,40,14,8
18609,I am a developer by profession,Yes,37,12,82000,Norway,38,25,12
18610,I am a developer by profession,Yes,34,16,59454,Belgium,40,7,4
18611,I am a developer by profession,No,43,10,21996,Brazil,72,31,20
18613,"I used to be a developer by profession, but no longer am",Yes,38,14,139709,United States,40,24,22
18614,I am a developer by profession,Yes,40,10,2.00E+05,United States,60,21,12
18616,I am a developer by profession,Yes,36,12,31176,Czech Republic,40,20,10
18617,"I used to be a developer by profession, but no longer am",Yes,22,14,83830,Ukraine,40,5,6
18619,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,66,19,224134,United States,50,48,46
18620,I am a developer by profession,Yes,30,23,147928,Chile,35,30,27
18622,I am a developer by profession,Yes,30,14,70264,France,40,15,8
18623,I am a developer by profession,Yes,17,10,5832,Germany,9,4,2
18626,I am a developer by profession,Yes,35,15,11976,Iran,44,20,15
18627,I am a developer by profession,Yes,33,10,120000,United States,36,16,10
18628,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,21,13,83057,New Zealand,43,7,2
18629,I am a developer by profession,Yes,31,14,32429,Italy,40,16,7
18630,I am a developer by profession,Yes,24,10,31524,Israel,45,8,6
18631,I am a developer by profession,Yes,31,13,160000,United States,30,13,7
18632,I am a developer by profession,No,26,14,110000,United States,40,3,2
18635,I am a developer by profession,Yes,38,15,60480,Brazil,40,13,9
18637,I am a developer by profession,Yes,30,14,118685,Norway,50,16,6
18638,I am a developer by profession,Yes,49,11,153000,United States,40,35,27
18640,I am a developer by profession,No,54,18,40644,Chile,45,36,31
18641,I am a developer by profession,Yes,30,18,79999,India,40,3,2
18642,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,30,19,79437,United States,40,4,1
18644,I am a developer by profession,Yes,35,17,38915,Spain,40,18,11
18645,I am a developer by profession,Yes,27,18,27144,Mexico,40,9,8
18646,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,31,12,40356,Croatia,40,10,5
18647,I am a developer by profession,Yes,48,13,38052,Sweden,40,12,10
18648,I am a developer by profession,Yes,27,26,50000,United States,45,1,1
18650,I am a developer by profession,Yes,29,15,35915,Bulgaria,40,15,6
18651,I am a developer by profession,Yes,50,14,43980,Brazil,35,36,30
18652,"I am not primarily a developer, but I write code sometimes as part of my work",No,30,10,89447,France,50,6,4
18653,I am a developer by profession,Yes,39,10,100822,United Kingdom,37.5,25,10
18655,I am a developer by profession,Yes,31,24,0,United States,50,4,4
18657,I am a developer by profession,Yes,40,16,71557,New Zealand,30,20,14
18658,I am a developer by profession,No,25,18,1.00E+05,United States,40,6,1
18660,I am a developer by profession,Yes,23,14,23782,Italy,45,9,4
18664,I am a developer by profession,Yes,30,10,86478,Germany,40,20,9
18665,I am a developer by profession,No,30,15,168636,Belgium,40,45,40
18667,I am a developer by profession,Yes,26,10,70000,United States,40,16,3
18668,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,32,16,64630,Greece,40,16,6
18669,I am a developer by profession,Yes,27,12,66000,United States,42,7,2
18670,I am a developer by profession,No,34,26,19824,Serbia,40,6,4
18671,I am a developer by profession,Yes,24,16,115000,United States,50,8,4
18672,I am a developer by profession,Yes,35,23,98000,United States,55,13,13
18673,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,45,7,158572,United States,50,38,20
18676,I am a developer by profession,Yes,29,9,39492,Poland,35,8,3
18677,I am a developer by profession,No,34,7,220000,United States,20,15,6
18678,I am a developer by profession,Yes,30,12,32319,Mexico,11,17,12
18680,I am a developer by profession,Yes,29,14,15888,Colombia,48,14,8
18682,I am a developer by profession,Yes,28,23,49119,United Kingdom,42,5,4
18683,I am a developer by profession,Yes,30,19,90758,Canada,35,11,7
18684,I am a developer by profession,No,32,18,99425,Spain,40,14,6
18685,"I used to be a developer by profession, but no longer am",Yes,38,15,127256,United States,40,23,15
18686,I am a developer by profession,Yes,25,14,85575,Netherlands,40,8,4
18687,I am a developer by profession,Yes,28,28,10992,Brazil,40,5,2
18688,I am a developer by profession,Yes,25,21,2.00E+06,United States,40,6,5
18691,I am a developer by profession,No,40,15,75631,Canada,40,25,20
18693,I am a developer by profession,Yes,33,15,64287,Canada,40,15,9
18694,I am a developer by profession,No,29,18,77148,Canada,40,10,4
18697,I am a developer by profession,No,21,11,12926,United Kingdom,10,10,1
18698,I am a developer by profession,Yes,51,14,69154,United Kingdom,40,36,30
18699,I am a developer by profession,Yes,40,12,54480,France,38,13,11
18700,I am a developer by profession,Yes,34,17,113582,France,40,17,12
18704,I am a developer by profession,Yes,26,17,4944,Nigeria,72,7,4
18706,I am a developer by profession,No,35,18,41508,Portugal,35,17,11
18707,I am a developer by profession,Yes,32,10,57708,Poland,40,22,12
18708,I am a developer by profession,No,29,19,14568,Brazil,44,11,6
18709,I am a developer by profession,Yes,33,16,32429,Italy,40,17,3
18711,I am a developer by profession,Yes,28,14,28548,Poland,45,14,8
18712,I am a developer by profession,Yes,39,18,75669,Netherlands,40,21,21
18713,I am a developer by profession,Yes,32,16,98851,Turkey,45,9,8
18715,I am a developer by profession,Yes,36,9,72636,Austria,39,22,13
18716,I am a developer by profession,Yes,55,18,32988,Brazil,40,38,34
18718,I am a developer by profession,No,33,16,108101,United States,40,17,9
18719,I am a developer by profession,Yes,27,20,42956,Sweden,40,8,4
18720,"I am not primarily a developer, but I write code sometimes as part of my work",No,29,15,36000,United States,40,15,6
18721,I am a developer by profession,Yes,37,12,102000,United States,40,10,8
18723,I am a developer by profession,Yes,35,18,64859,France,35,10,10
18726,I am a developer by profession,Yes,23,17,1800000,United States,60,6,4
18728,I am a developer by profession,Yes,26,16,105000,United States,40,6,3
18729,I am a developer by profession,No,25,6,881892,Australia,40,6,5
18731,I am a developer by profession,Yes,36,17,43980,Brazil,40,17,17
18732,I am a developer by profession,Yes,50,16,61616,Germany,40,34,20
18733,I am a developer by profession,Yes,35,15,114744,Poland,40,16,13
18734,I am a developer by profession,Yes,38,10,115085,Denmark,37,17,12
18735,I am a developer by profession,Yes,18,8,116333,United Kingdom,35,7,4
18736,I am a developer by profession,Yes,30,19,85000,United States,40,7,3
18737,"I am not primarily a developer, but I write code sometimes as part of my work",No,24,18,583728,Ireland,35,6,2
18738,I am a developer by profession,Yes,30,21,97216,United States,40,10,8
18739,I am a developer by profession,Yes,34,15,97106,Norway,45,19,11
18740,I am a developer by profession,Yes,30,10,36948,Hungary,40,21,5
18742,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,43,7,64630,United Kingdom,40,30,8
18743,I am a developer by profession,Yes,39,15,150000,United States,40,15,12
18745,I am a developer by profession,No,32,15,79574,Netherlands,40,3,1
18746,I am a developer by profession,No,23,20,110000,United States,40,4,1
18749,I am a developer by profession,Yes,27,15,98321,Canada,40,11,6
18751,I am a developer by profession,Yes,46,14,144648,Germany,50,32,15
18752,I am a developer by profession,Yes,26,13,44184,Sweden,38,13,1
18753,I am a developer by profession,Yes,29,15,110000,United States,35,14,6
18755,I am a developer by profession,No,29,19,85847,Ukraine,40,6,4
18757,I am a developer by profession,Yes,47,21,143992,"Venezuela, Bolivarian Republic of...",40,26,20
18758,"I used to be a developer by profession, but no longer am",Yes,27,15,83019,Germany,40,6,3
18759,I am a developer by profession,Yes,38,15,38915,Spain,40,21,15
18760,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,43,13,622644,Germany,41,9,9
18761,I am a developer by profession,No,33,19,26844,Colombia,48,11,9
18762,I am a developer by profession,Yes,26,16,85545,Brazil,45,6,4
18763,I am a developer by profession,Yes,41,8,79576,United States,40,33,9
18764,I am a developer by profession,Yes,37,20,27148,Mexico,8,17,15
18765,I am a developer by profession,Yes,28,14,72000,United States,40,11,6
18766,I am a developer by profession,Yes,28,16,54049,Germany,50,12,6
18767,I am a developer by profession,No,25,18,23088,Hungary,40,2,2
18770,I am a developer by profession,Yes,31,19,2.00E+06,United States,40,11,9
18771,I am a developer by profession,Yes,23,14,155000,United States,50,9,2
18772,I am a developer by profession,Yes,15,9,2600,Czech Republic,8,6,1
18775,I am a developer by profession,Yes,44,14,78912,Netherlands,38,26,22
18776,I am a developer by profession,Yes,29,11,32424,Slovakia,40,18,8
18777,I am a developer by profession,Yes,25,16,1.00E+05,United States,40,9,8
18778,I am a developer by profession,Yes,27,15,153800,United States,40,6,4
18779,"I used to be a developer by profession, but no longer am",Yes,28,12,85750,United States,40,8,3
18780,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,30,20,91128,Poland,50,10,7
18781,I am a developer by profession,Yes,50,14,106895,Australia,42,25,20
18782,I am a developer by profession,Yes,24,14,96000,United States,43,8,2
18783,I am a developer by profession,Yes,26,12,822500,United States,50,12,5
18784,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,29,13,110631,United States,60,16,9
18785,I am a developer by profession,Yes,25,16,44040,Poland,40,9,4
18787,I am a developer by profession,Yes,28,16,251316,India,50,13,7
18788,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,32,11,150000,United States,35,21,9
18789,I am a developer by profession,No,26,21,51112,New Zealand,45,6,4
18790,I am a developer by profession,Yes,35,13,119509,United States,40,22,12
18792,I am a developer by profession,Yes,32,15,79413,Canada,44,17,14
18793,I am a developer by profession,Yes,36,15,68507,United Kingdom,37,31,12
18794,I am a developer by profession,Yes,72,36,170383,United States,28,37,22
18795,I am a developer by profession,Yes,29,14,37816,Canada,40,13,8
18796,I am a developer by profession,Yes,44,11,30372,Poland,50,20,15
18798,I am a developer by profession,Yes,30,13,86844,Denmark,37,22,13
18799,"I am not primarily a developer, but I write code sometimes as part of my work",No,30,18,99346,United States,40,12,8
18801,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,34,11,170000,United States,45,20,12
18802,I am a developer by profession,Yes,33,17,14292,Brazil,50,16,12
18804,I am a developer by profession,Yes,21,14,25715,Canada,40,3,1
18805,I am a developer by profession,Yes,30,8,96481,United States,40,20,1
18806,I am a developer by profession,No,24,16,82036,Canada,37.5,9,2
18807,I am a developer by profession,Yes,27,11,101311,Denmark,36,15,3
18808,"I used to be a developer by profession, but no longer am",Yes,36,18,113718,Poland,40,16,12
18809,I am a developer by profession,No,28,13,67844,Canada,35,15,6
18810,I am a developer by profession,No,25,18,59454,Australia,36,7,3
18811,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,38,10,84019,United Kingdom,45,27,15
18813,I am a developer by profession,Yes,33,14,62697,Austria,32,2,2
18815,I am a developer by profession,Yes,25,11,42528,Poland,40,6,4
18816,I am a developer by profession,Yes,30,20,145000,United States,32,6,4
18817,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,35,10,47724,Russian Federation,35,25,16
18818,I am a developer by profession,Yes,40,14,22596,Colombia,50,26,8
18819,I am a developer by profession,Yes,37,7,167024,Australia,8,30,10
18820,I am a developer by profession,No,22,17,5196,Bulgaria,40,4,2
18821,I am a developer by profession,Yes,37,8,70264,Germany,50,25,14
18822,I am a developer by profession,Yes,30,10,130295,Israel,40,38,10
18823,I am a developer by profession,Yes,40,10,33288,Hungary,39,30,18
18824,I am a developer by profession,Yes,30,10,93962,Russian Federation,40,10,6
18826,I am a developer by profession,No,27,16,869112,Ireland,37,10,5
18827,I am a developer by profession,Yes,47,9,204000,United States,45,26,24
18830,I am a developer by profession,Yes,29,17,250000,United States,42,12,10
18834,I am a developer by profession,Yes,40,10,45396,Germany,32,30,2
18838,I am a developer by profession,Yes,40,20,170000,United States,50,20,8
18839,I am a developer by profession,No,41,14,59454,Germany,40,17,9
18840,I am a developer by profession,No,25,17,58167,United Kingdom,40,7,3
18841,I am a developer by profession,No,38,15,213000,United States,40,23,16
18842,I am a developer by profession,Yes,30,11,64737,Norway,37,17,6
18843,I am a developer by profession,No,23,15,780000,United States,40,7,2
18844,I am a developer by profession,Yes,30,16,75225,Colombia,8,6,3
18845,I am a developer by profession,Yes,44,10,90632,Norway,40,34,20
18846,I am a developer by profession,No,37,18,97288,Netherlands,40,16,11
18847,I am a developer by profession,Yes,22,12,89000,United States,40,10,2
18848,I am a developer by profession,Yes,30,20,92336,Germany,40,10,5
18850,"I am not primarily a developer, but I write code sometimes as part of my work",No,36,7,32556,Russian Federation,8,5,1
18854,I am a developer by profession,Yes,30,16,105795,United States,40,15,10
18855,I am a developer by profession,No,32,18,75240,Netherlands,40,14,9
18857,I am a developer by profession,Yes,24,17,78525,United States,40,5,2
18858,I am a developer by profession,No,34,5,25944,Slovakia,35,15,4
18859,I am a developer by profession,No,34,15,58368,Finland,37,3,3
18860,I am a developer by profession,Yes,22,14,31022,United Kingdom,40,8,2
18861,I am a developer by profession,No,23,10,39867,New Zealand,42,4,2
18862,I am a developer by profession,Yes,32,24,176200,Netherlands,60,10,9
18863,I am a developer by profession,Yes,25,14,75631,Canada,40,11,2
18864,I am a developer by profession,Yes,40,20,125000,United States,40,13,13
18865,I am a developer by profession,Yes,26,10,120000,United States,50,16,3
18866,I am a developer by profession,Yes,29,10,100176,United Kingdom,45,19,7
18867,I am a developer by profession,Yes,30,9,122092,United States,45,35,6
18868,I am a developer by profession,Yes,31,14,43404,Russian Federation,30,16,9
18869,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,39,12,52390,New Zealand,37.6,20,15
18870,I am a developer by profession,Yes,25,8,115000,United States,40,13,5
18871,I am a developer by profession,No,58,15,90482,United Kingdom,37.5,43,37
18872,I am a developer by profession,Yes,46,12,108098,Ireland,40,32,20
18874,I am a developer by profession,Yes,31,9,126938,Australia,35,13,8
18875,I am a developer by profession,Yes,29,29,12924,Mexico,50,1,1
18877,I am a developer by profession,Yes,31,12,162638,Switzerland,40,15,10
18878,I am a developer by profession,No,41,19,65000,United States,45,20,18
18879,I am a developer by profession,Yes,23,13,95000,United States,40,7,3
18881,I am a developer by profession,Yes,30,14,120000,United States,50,25,15
18883,I am a developer by profession,Yes,22,17,75697,Canada,40,5,1
18884,I am a developer by profession,Yes,25,11,84000,United States,45,14,3
18886,I am a developer by profession,Yes,30,7,64859,Netherlands,32,22,14
18887,I am a developer by profession,Yes,43,6,122184,United States,40,20,12
18888,I am a developer by profession,Yes,36,8,160000,United States,40,20,15
18889,I am a developer by profession,Yes,28,10,55211,Canada,40,18,3
18890,I am a developer by profession,Yes,26,16,47628,Germany,45,10,3
18891,I am a developer by profession,Yes,26,10,51888,Slovakia,40,13,3
18893,I am a developer by profession,No,46,13,105000,United States,40,30,25
18894,I am a developer by profession,Yes,29,14,125000,United States,40,13,9
18895,I am a developer by profession,Yes,53,15,172957,France,50,36,12
18896,I am a developer by profession,Yes,30,14,98785,Germany,40,13,7
18897,I am a developer by profession,No,44,12,103582,Italy,10,15,9
18900,I am a developer by profession,Yes,30,10,80000,United States,40,17,6
18902,I am a developer by profession,Yes,35,25,70264,Netherlands,40,10,10
18903,I am a developer by profession,No,25,16,64859,Germany,40,9,6
18904,I am a developer by profession,No,23,18,80000,United States,40,6,1
18906,I am a developer by profession,No,20,9,12924,Mexico,60,6,3
18907,I am a developer by profession,Yes,24,17,51429,Canada,40,5,2
18909,I am a developer by profession,No,30,13,110000,United States,45,23,23
18911,I am a developer by profession,No,27,16,37824,Uruguay,6,9,6
18913,I am a developer by profession,Yes,40,11,87552,Israel,35,20,15
18914,I am a developer by profession,Yes,22,8,70000,United States,40,12,3
18916,I am a developer by profession,Yes,21,14,21620,Spain,40,7,3
18917,I am a developer by profession,Yes,26,16,56751,Germany,40,8,2
18918,I am a developer by profession,Yes,24,14,62697,France,36,10,2
18920,I am a developer by profession,Yes,44,6,115500,United States,40,26,10
18921,I am a developer by profession,Yes,30,10,119255,Israel,40,20,15
18922,I am a developer by profession,Yes,32,13,83194,Canada,42,19,10
18923,I am a developer by profession,Yes,39,14,139186,Germany,40,26,20
18924,I am a developer by profession,Yes,30,10,115000,United States,45,8,6
18925,I am a developer by profession,Yes,28,12,399336,United States,40,2,1
18926,I am a developer by profession,Yes,25,15,75631,Canada,50,10,4
18927,I am a developer by profession,Yes,25,13,37816,Canada,40,10,2
18928,I am a developer by profession,Yes,34,14,26772,Austria,30,20,3
18929,I am a developer by profession,Yes,26,13,71850,Canada,40,9,8
18930,I am a developer by profession,Yes,33,9,143887,Japan,40,18,9
18932,I am a developer by profession,Yes,30,13,101649,Switzerland,42,17,5
18933,I am a developer by profession,Yes,30,17,59863,Portugal,50,13,8
18935,I am a developer by profession,No,40,12,518868,France,42,23,20
18936,I am a developer by profession,Yes,23,18,75232,Brazil,40,4,1
18937,I am a developer by profession,Yes,28,17,104000,United States,40,10,5
18938,I am a developer by profession,Yes,48,9,175000,United States,40,38,25
18940,I am a developer by profession,Yes,47,13,38916,Slovenia,40,35,20
18941,I am a developer by profession,Yes,41,8,177750,United Kingdom,40,14,10
18942,I am a developer by profession,Yes,38,12,132122,Germany,22,25,20
18945,I am a developer by profession,Yes,33,7,166000,United States,40,20,13
18946,I am a developer by profession,Yes,36,12,128747,United States,40,24,16
18947,I am a developer by profession,Yes,32,15,37752,Russian Federation,40,17,8
18948,I am a developer by profession,Yes,32,16,36324,Slovenia,40,17,10
18952,I am a developer by profession,No,30,23,110114,United States,40,16,12
18953,I am a developer by profession,Yes,47,11,162178,Ireland,38,36,25
18954,I am a developer by profession,No,45,13,90758,Canada,40,24,20
18955,I am a developer by profession,Yes,24,17,1.00E+06,Canada,28,9,3
18956,I am a developer by profession,Yes,24,20,45241,United Kingdom,45,4,3
18958,I am a developer by profession,No,30,8,74829,United Kingdom,5,8,2
18960,I am a developer by profession,Yes,27,8,216196,Ireland,30,15,7
18961,I am a developer by profession,Yes,30,15,51960,Czech Republic,50,12,10
18962,I am a developer by profession,Yes,30,13,156942,Italy,40,34,29
18963,I am a developer by profession,Yes,25,13,64860,Germany,39,7,5
18964,I am a developer by profession,Yes,28,8,50000,Canada,37.5,11,5
18966,I am a developer by profession,Yes,30,13,83629,United States,45,5,2
18967,I am a developer by profession,Yes,42,10,63043,Netherlands,44,32,23
18968,I am a developer by profession,Yes,36,14,75669,Germany,40,21,10
18969,I am a developer by profession,Yes,50,12,1.00E+06,Australia,40,38,23
18970,I am a developer by profession,Yes,45,15,143500,Nomadic,40,25,21
18972,I am a developer by profession,Yes,30,13,88578,Finland,40,8,4
18973,I am a developer by profession,Yes,31,5,114000,United States,50,25,5
18974,I am a developer by profession,No,24,14,3024,Russian Federation,30,10,1
18976,I am a developer by profession,No,36,10,103000,United States,40,21,7
18977,I am a developer by profession,No,35,17,1.00E+05,United States,40,12,7
18978,I am a developer by profession,Yes,30,16,24365,Greece,45,13,10
18979,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,34,10,76668,New Zealand,40,20,8
18981,I am a developer by profession,Yes,35,7,56294,Czech Republic,40,20,23
18983,I am a developer by profession,Yes,27,15,91133,Mexico,42,10,5
18984,I am a developer by profession,Yes,30,12,49119,United Kingdom,40,24,5
18985,I am a developer by profession,No,26,19,113800,United States,40,4,3
18986,I am a developer by profession,Yes,30,12,67500,United States,40,13,5
18987,I am a developer by profession,Yes,40,10,139787,Argentina,40,26,20
18988,I am a developer by profession,No,43,8,62808,Netherlands,32,28,21
18989,I am a developer by profession,Yes,31,17,59304,Norway,40,9,5
18996,I am a developer by profession,Yes,30,13,64859,Ireland,35,10,3
18999,I am a developer by profession,Yes,34,15,80925,Canada,40,19,10
19000,I am a developer by profession,Yes,30,10,116001,United States,40,20,13
19001,I am a developer by profession,Yes,30,12,24648,Portugal,40,18,8
19002,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,39,10,130000,United States,45,25,15
19003,I am a developer by profession,Yes,35,12,485000,United States,40,20,17
19004,I am a developer by profession,No,19,15,7080,Costa Rica,8,4,1
19005,I am a developer by profession,Yes,30,12,68068,Canada,40,16,11
19006,I am a developer by profession,Yes,32,15,99327,United States,9,15,11
19007,I am a developer by profession,Yes,30,10,164960,Canada,40,40,30
19009,I am a developer by profession,Yes,47,12,183000,United States,40,6,5
19010,I am a developer by profession,Yes,46,11,175000,United States,50,30,25
19011,I am a developer by profession,Yes,49,10,165371,Uruguay,48,32,27
19012,I am a developer by profession,Yes,30,12,85000,United States,40,15,7
19013,I am a developer by profession,Yes,22,13,33024,Russian Federation,40,8,4
19014,I am a developer by profession,Yes,30,15,45396,Netherlands,40,10,4
19015,I am a developer by profession,Yes,61,26,170000,United States,40,35,33
19016,I am a developer by profession,No,55,15,188112,United States,40,40,35
19018,I am a developer by profession,No,28,15,60505,Canada,37.5,13,8
19019,I am a developer by profession,Yes,37,15,130000,United States,45,22,15
19020,I am a developer by profession,No,34,10,85000,United States,40,10,6
19021,I am a developer by profession,Yes,25,13,43428,Romania,36,8,4
19022,I am a developer by profession,Yes,30,18,5124,Egypt,40,6,2
19023,I am a developer by profession,No,35,10,115000,United States,40,13,13
19024,I am a developer by profession,Yes,31,15,106500,United States,40,16,7
19025,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,39,12,180000,United States,40,19,10
19026,"I used to be a developer by profession, but no longer am",No,49,19,134814,United States,40,30,11
19027,I am a developer by profession,Yes,38,10,473088,United Kingdom,37,25,18
19028,I am a developer by profession,No,49,14,58368,Estonia,40,37,27
19029,I am a developer by profession,Yes,22,14,77527,Ireland,39,7,1
19030,I am a developer by profession,Yes,28,17,21996,Brazil,40,9,6
19031,I am a developer by profession,No,45,10,70264,Netherlands,40,35,18
19032,I am a developer by profession,Yes,28,20,60000,United States,40,8,5
19033,I am a developer by profession,Yes,27,22,19236,Brazil,44,6,6
19035,I am a developer by profession,Yes,30,17,0,Canada,38,7,4
19036,I am a developer by profession,Yes,24,19,5820,Mexico,10,6,3
19037,I am a developer by profession,Yes,33,15,32429,Italy,40,16,5
19038,I am a developer by profession,Yes,25,18,105000,United States,41,7,4
19040,I am a developer by profession,Yes,24,12,45000,United States,40,10,3
19041,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,32,11,126000,United States,40,19,10
19042,I am a developer by profession,Yes,42,8,67500,Sweden,38,34,16
19043,I am a developer by profession,No,62,17,19392,Mexico,45,46,46
19044,I am a developer by profession,Yes,42,10,36753,Slovakia,40,32,20
19045,I am a developer by profession,Yes,33,13,56211,Italy,30,20,13
19046,I am a developer by profession,Yes,23,14,499164,Canada,40,7,2
19047,I am a developer by profession,Yes,24,11,43948,United Kingdom,38,13,1
19049,I am a developer by profession,Yes,31,21,14220,Mexico,40,9,5
19050,I am a developer by profession,Yes,39,13,110256,Slovenia,40,6,6
19051,"I am not primarily a developer, but I write code sometimes as part of my work",No,41,10,140527,Portugal,40,31,18
19052,I am a developer by profession,Yes,21,17,26520,Bulgaria,35,4,3
19053,I am a developer by profession,Yes,24,16,18000,Zimbabwe,48,7,5
19054,I am a developer by profession,Yes,36,10,110000,United States,40,17,13
